epoch,loss,reward,steps
1.0,3628.8523,-137.53537914707616,75.7
2.0,2102.6033,-265.29640044482164,86.1
3.0,1413.0042,-179.36530804247832,98.7
4.0,3253.4167,-274.6770696798738,122.3
5.0,2167.6191,-180.28048400232313,138.7
6.0,2154.303,-245.1022375374758,113.7
7.0,2142.3633,-227.1629644572365,127.0
8.0,3147.0457,-206.71656808252732,116.6
9.0,2489.2327,-204.39970075585546,114.8
10.0,2057.048,-241.08831616800416,129.1
11.0,2254.8123,-139.27607931671167,123.6
12.0,1545.3335,-199.7193446692787,143.1
13.0,1195.2467,-137.03360191084468,128.5
14.0,2665.62,-114.55773771308266,153.7
15.0,2128.8296,-119.90770258497949,287.9
16.0,1970.1533,-83.36124364433417,369.5
17.0,1179.5078,-108.51567343996672,313.2
18.0,2461.7078,-149.7805550920639,546.1
19.0,1001.3019,-110.6842255938539,723.6
20.0,326.6329,-23.74926797029707,953.2
21.0,565.72174,-122.50793581686601,705.2
22.0,712.0103,-101.06553243173356,868.9
23.0,570.1519,-18.177376544763096,999.0
24.0,278.0823,46.31277041444896,999.0
25.0,109.73177,18.02769823224782,999.0
26.0,116.12486,69.38663099790446,999.0
27.0,257.91183,26.375809287091755,779.6
28.0,157.87589,-89.81762787327143,862.4
29.0,196.60846,-42.74538075887474,750.5
30.0,459.92346,19.278220620481473,705.6
31.0,327.19647,-98.5567076759689,670.8
32.0,258.26126,-27.482811852054702,743.5
33.0,329.91656,-73.14633420591824,843.4
34.0,354.36093,20.766960089769807,962.0
35.0,106.04394,-36.49534934890205,970.4
36.0,125.127686,-12.620228760216214,999.0
37.0,184.41612,-2.164801719138068,999.0
38.0,75.44113,-29.551569771706276,999.0
39.0,35.910416,-45.63872519638373,999.0
40.0,37.440838,-61.67424800165553,999.0
41.0,44.84764,-52.496990681156504,999.0
42.0,42.16449,-54.52641934101897,999.0
43.0,30.521042,-63.10590175824548,999.0
44.0,37.247322,-59.225559903365195,999.0
45.0,30.442192,-76.43677319042445,999.0
46.0,19.07941,-107.9094085258209,999.0
47.0,73.60888,-131.28081030013422,998.0
48.0,48.276447,-26.536013462989246,901.8
49.0,114.192154,-154.0403103433335,523.6
50.0,116.896255,-168.86303419986598,603.2
51.0,86.66044,-157.7528546559342,757.4
52.0,127.321,-109.92234428959223,799.4
53.0,80.005424,-6.023851924023538,999.0
54.0,34.383244,-13.330898896441699,999.0
55.0,18.661478,4.319642673084392,999.0
56.0,45.27438,-28.397078819478008,974.2
57.0,43.18014,-7.103004295794017,999.0
58.0,26.664518,-12.631424713599326,999.0
59.0,23.139622,-32.06471725574354,982.7
60.0,38.793255,-13.585714258245304,999.0
61.0,54.957294,2.300286607572235,992.2
62.0,67.31436,-88.0758203365572,953.4
63.0,140.55312,-18.02586321233073,999.0
64.0,15.362922,-20.73422141898239,999.0
65.0,23.506872,-22.31357469541001,999.0
66.0,18.99511,-37.5771959743454,999.0
67.0,19.796455,-57.13592780389291,999.0
68.0,26.618967,-43.343071170631845,999.0
69.0,56.721428,-32.54877787695874,999.0
70.0,56.022617,-31.958988480774668,912.4
71.0,26.523077,-16.867121573398897,999.0
72.0,40.0077,-35.25449020153988,999.0
73.0,37.693222,-30.338515996771186,999.0
74.0,17.663702,-28.400039981571876,999.0
75.0,139.30656,-29.23166552768108,913.6
76.0,17.360704,-18.57776063215028,999.0
77.0,27.24772,-9.138862009300471,999.0
78.0,20.585976,-31.009848872703675,984.0
79.0,37.027767,-22.464376053003072,999.0
80.0,77.51864,-6.9989608609531615,999.0
81.0,22.466553,-16.796839115416077,999.0
82.0,30.791594,-17.53577457668208,999.0
83.0,42.873077,-8.190916029149204,999.0
84.0,26.401205,-10.683804124603892,999.0
85.0,15.279107,-15.175151580554948,999.0
86.0,17.869068,-15.644444679656175,913.7
87.0,26.848269,-10.319822752948074,915.1
88.0,18.189426,-13.500614367466307,999.0
89.0,12.814902,-9.895288852221201,912.3
90.0,12.874878,-1.826946068807994,909.2
91.0,15.022949,-27.448137253623933,999.0
92.0,20.27365,-28.91686548012435,994.5
93.0,38.05519,-23.550584875956098,892.6
94.0,38.689785,-34.162939682132595,909.6
95.0,66.95215,-21.371896012466166,934.3
96.0,44.544857,-44.074135136239775,990.6
97.0,111.10394,-47.21738453016822,817.3
98.0,134.58679,-75.88548548736621,734.8
99.0,192.91881,-45.45031696059479,654.3
100.0,63.885582,-114.83784320689847,495.9
101.0,264.39804,-91.89825080578579,536.5
102.0,307.82794,-69.71817591140633,710.3
103.0,230.24493,-94.8482225356906,742.9
104.0,377.74905,-66.73694615080456,293.1
105.0,122.926346,-51.65739279047559,718.8
106.0,217.14243,-85.35148640835106,835.3
107.0,118.236786,-64.54595763096361,828.8
108.0,148.07527,-42.2859624460274,586.8
109.0,34.491222,-61.98104537630959,747.9
110.0,70.89028,-75.63872844721321,654.8
111.0,25.348501,-39.80055569817008,571.8
112.0,40.83418,-57.30141630090984,831.3
113.0,60.88748,-41.899195446226116,752.0
114.0,37.15448,-48.82712772478595,649.0
115.0,67.71141,-48.76133376154442,833.6
116.0,30.636692,-41.017432667754086,894.8
117.0,34.43902,-51.87689711549083,617.3
118.0,98.37482,-38.853095586533826,675.6
119.0,92.44408,-30.486163159815625,740.9
120.0,123.63102,-47.5570041001897,848.2
121.0,70.39236,-21.343142379256197,921.8
122.0,87.080864,-74.51180509016214,983.9
123.0,53.288353,-21.548666685772737,824.7
124.0,43.288612,-43.545478538903765,999.0
125.0,67.43726,-49.21358632513825,907.4
126.0,42.408405,-26.41416122018817,903.2
127.0,42.813023,-64.46109250749235,999.0
128.0,30.640512,-5.749984273286558,999.0
129.0,72.74617,16.215188295163102,999.0
130.0,56.917713,-11.092394108619862,999.0
131.0,24.438803,-35.575085266679025,918.7
132.0,47.857376,-1.62996984992581,999.0
133.0,34.27386,-10.95104433592946,968.6
134.0,22.709568,42.561358358062115,999.0
135.0,43.197517,-29.99203038392219,958.2
136.0,50.697876,-4.289676798696055,999.0
137.0,108.3279,-26.514713152237412,964.7
138.0,52.71086,18.606132214117025,996.2
139.0,98.216644,-9.24055870333838,999.0
140.0,32.913784,19.212708323573413,908.9
141.0,53.339657,-12.299092294034537,999.0
142.0,53.51697,38.85218039359611,999.0
143.0,53.48744,43.95596468957338,978.5
144.0,41.296158,39.20079424312517,993.4
145.0,24.413322,37.39078240552621,999.0
146.0,20.09035,36.428506262509515,946.5
147.0,108.50027,43.48647032609988,971.9
148.0,81.10248,86.97219143629425,999.0
149.0,101.72005,96.00131630166682,951.6
150.0,104.878975,46.849306045560695,858.9
151.0,63.02544,26.59155613782385,950.7
152.0,36.978664,88.03753157908525,999.0
153.0,81.69631,58.12890330184081,807.5
154.0,138.10838,80.45694663668321,856.9
155.0,170.64151,110.54739132413599,748.5
156.0,143.13608,112.9570603275996,867.0
157.0,72.61297,26.977026529706404,529.6
158.0,127.538345,135.57845234475283,784.7
159.0,73.21607,115.03725210379321,834.4
160.0,67.65292,92.66928980606902,838.3
161.0,216.54387,103.14984371569592,900.5
162.0,152.49292,94.95940155277523,809.6
163.0,136.01051,118.55746442357142,816.9
164.0,212.16156,106.17158480755589,804.8
165.0,135.57263,108.24819618300157,854.7
166.0,127.463104,119.3141487268158,902.4
167.0,141.58499,115.11543756406317,886.9
168.0,111.6359,85.40528442379365,768.3
169.0,60.33615,98.10633054611158,854.7
170.0,103.00751,115.10298017768517,838.4
171.0,35.907776,72.7914601238871,907.0
172.0,116.06388,99.0140382070023,797.2
173.0,191.54716,114.01046256392871,976.9
174.0,200.35477,120.72469438457009,758.8
175.0,155.56497,120.01587548280652,836.2
176.0,374.84442,150.47741506476808,732.4
177.0,124.46807,140.83039991998447,951.5
178.0,163.5058,161.57209660149243,791.4
179.0,140.66574,165.15601048241294,762.6
180.0,121.68079,135.92676517695207,887.4
181.0,104.23964,158.7497726733372,730.6
182.0,69.035065,126.14744435755192,864.8
183.0,105.063965,139.02254156822863,798.5
184.0,72.635735,150.6652341119322,884.1
185.0,113.006615,173.46187972547082,766.1
186.0,129.73041,168.19579502210115,793.5
187.0,257.3828,167.93383371050194,784.4
188.0,152.4855,171.36956903098624,871.4
189.0,92.738365,125.20003713884107,685.6
190.0,140.63895,187.0204092272545,518.2
191.0,138.52759,153.66288557183924,605.5
192.0,262.29663,152.95114350724003,796.6
193.0,232.59569,192.14171527672883,621.8
194.0,207.20831,209.98001216634947,601.2
195.0,159.30925,159.20004143241482,756.0
196.0,162.49434,193.5452709651273,686.7
197.0,136.99326,134.05404914319936,701.8
198.0,146.30089,161.38936967338867,816.0
199.0,104.98358,142.78096349901938,597.3
200.0,182.93602,151.3282183151876,811.5
201.0,85.99734,161.18721443800547,790.3
202.0,193.6662,161.35926370896777,724.1
203.0,126.5684,160.5087953813263,724.7
204.0,172.19,126.45361959558754,787.6
205.0,302.9477,136.1804024251151,935.4
206.0,108.64575,153.39480751939533,659.9
207.0,183.63591,161.96053087222953,696.1
208.0,284.2357,161.4771849138881,745.2
209.0,294.32214,142.3089366123529,573.5
210.0,134.98085,152.12565778143673,710.1
211.0,425.51535,127.0798243979788,494.2
212.0,205.7692,113.20797131545979,716.6
213.0,105.12476,129.76747270619248,578.0
214.0,140.75824,35.26749030990361,600.3
215.0,171.7138,147.82791490932306,801.5
216.0,240.0431,124.20012310976385,921.5
217.0,123.19588,160.7194507241186,591.0
218.0,225.25064,126.41816603232363,551.6
219.0,271.44223,146.84514741821087,538.5
220.0,183.19113,163.25146466611383,800.6
221.0,261.50412,128.82666009461445,493.8
222.0,260.0962,163.31351500422514,822.9
223.0,72.333496,187.50082542126916,615.7
224.0,207.96933,191.13444562015928,687.5
225.0,159.33421,151.53910630978444,781.4
226.0,97.13736,169.7027352618531,808.9
227.0,166.89378,156.81716192390215,943.1
228.0,191.5437,172.39140142216752,808.7
229.0,99.98787,158.23179803734735,723.9
230.0,117.19574,156.1274944557065,866.2
231.0,119.570694,177.34493039958454,601.2
232.0,240.69246,185.99419511620482,721.9
233.0,128.9702,171.9780006242128,877.3
234.0,90.6273,173.0792708513873,787.4
235.0,145.11514,150.37172787699942,855.9
236.0,238.61961,163.74184773169418,746.8
237.0,171.02151,193.3949702743843,706.0
238.0,214.22394,181.78438423346776,775.6
239.0,141.71991,150.3509779570352,633.6
240.0,185.65533,165.5404823946766,704.2
241.0,407.37262,162.71159248347945,846.1
242.0,224.10751,167.38514889847482,897.9
243.0,182.54697,172.3862321907534,774.2
244.0,208.37617,202.47772835558476,585.4
245.0,309.72244,163.3928379841386,805.1
246.0,135.0972,201.01226977070314,607.3
247.0,173.4477,173.49348402869992,798.2
248.0,215.17957,141.82247375484127,858.5
249.0,170.15724,163.98512287043187,856.3
250.0,154.07784,188.71371561960876,718.2
251.0,339.71786,189.80865085372807,671.4
252.0,170.65987,174.65463458948042,822.9
253.0,120.55198,154.31635760788268,715.0
254.0,145.93674,154.3845034391291,850.6
255.0,276.86365,156.19884771281974,805.9
256.0,118.11605,170.53597567961444,835.7
257.0,155.43636,193.9495671601093,718.1
258.0,99.07258,184.92643367085776,755.7
259.0,159.29814,140.89171774294294,920.0
260.0,97.17553,170.56993865949795,718.2
261.0,71.84296,127.98561636185987,782.9
262.0,115.95594,161.57166053947395,849.9
263.0,159.03152,149.77615403830617,797.5
264.0,74.063545,156.22696255930538,924.5
265.0,134.43436,161.95291852143208,902.2
266.0,236.22661,180.7120509243931,794.8
267.0,217.18768,157.87990792228467,912.5
268.0,145.29071,163.52494597584615,869.6
269.0,224.29834,189.23393120469473,756.8
270.0,125.78718,164.83233581504965,859.5
271.0,89.60132,150.1062560362574,999.0
272.0,104.030396,150.68724751181531,945.5
273.0,172.26427,152.24618256454363,925.1
274.0,138.21071,156.34994309899736,929.6
275.0,159.60143,175.15081611308162,846.1
276.0,125.210205,156.72647292012562,759.9
277.0,219.9381,139.8132133855906,802.1
278.0,123.426926,171.35017816448183,691.6
279.0,163.21893,137.80144729726928,847.6
280.0,74.84954,167.18601694885632,804.1
281.0,303.37473,156.9559387394911,731.2
282.0,293.22342,121.3258657354817,842.0
283.0,154.65631,157.33425994719394,854.7
284.0,203.62651,188.08976860458603,611.7
285.0,198.73201,147.6521948906805,852.5
286.0,177.4899,140.94670438008183,947.4
287.0,107.32898,183.73416713767398,703.6
288.0,141.83374,168.06991836673785,864.0
289.0,41.01276,159.0982793488095,867.0
290.0,79.01958,137.4737080542552,971.5
291.0,146.67822,168.49603626561372,747.9
292.0,207.65088,167.43654899402716,862.9
293.0,70.480995,148.94607899964572,797.0
294.0,107.67071,143.4937708778827,691.0
295.0,160.66893,160.51372834252953,646.0
296.0,172.82973,163.47699263130116,920.9
297.0,152.71162,144.88365378986225,866.8
298.0,168.42429,146.9775321880082,929.2
299.0,101.44661,152.5003180321298,923.9
300.0,112.07325,150.52468923088463,920.8
